id;numero_contrat_collectif;migre;code_entite_rattachement;code_centre_gestion;code_groupe_gestion;code_reseau_distribution;type_contrat_collectif;etat_contrat;date_effet_premiere_souscription;date_effet_derniere_resiliation;motif_resiliation;code_nature_couverture;code_offre;numero_version_offre;echeance_principale;code_organisme_porteur_risque;indicateur_porteur_risque;code_organisme_producteur_fiche_dsn;code_organisme_delegataire_cotisations;code_organisme_delegataire_prestations;date_premier_mois_cotisation_autorise;numero_operation_niveau_0;statut
1;given;tank aha odd;hmph gust;punctually;deep without;whoa;hungrily phooey;sheathe majority exasperation;2025-07-25;2025-07-24;lightly unlike well;undergo;likewise shear;unaccountably morbidity mmm;except whoa overcoat;yowza;once once;than unless switch;livid er;accompany frail optimistic;given markup;11334;acidly for
2;tributary;qua dearly sediment;ouch unless indelible;towards failing detain;whose yet;amidst sand;aha;sentimental;2025-07-24;2025-07-24;menacing gosh extricate;arid;fatally sunbathe;amendment;sedately until solidly;tentacle;shampoo ah with;quaver meh;tackle;while yowza;valiantly but failing;15142;about furthermore
3;while;sometimes floodlight close;modulo;oh huzzah;ascertain;unless habit boo;fill until ha;ha furthermore as;2025-07-24;2025-07-24;governance;consign;these jealously which;countess;aw;mmm;majestic aside phooey;acidic that represent;before rightfully;manner;off;18541;judgementally both verbally
4;by ha;deeply eyeglasses zowie;focused;abandoned energetically granular;puritan;soon aircraft whup;whimsical;beside incidentally crossly;2025-07-24;2025-07-24;offset thunderbolt;knowledgeable;when er;retrospectivity;haircut;anenst behind;off ugh swiftly;aw skean;wearily;describe kissingly;creaking;3294;besides yowza friendly
5;ack configuration willow;reproachfully;design advertisement;sleepily CD;underneath until;hastily;juggernaut;whenever moral ouch;2025-07-25;2025-07-24;round hovel;dearly;glider aw vice;provision;sweet during;disarm dislocate fat;government before fax;coin;break officially;faint;how parched oh;27897;ah
6;uproot between oof;aha easily well-documented;wisely anti;gruesome elegantly govern;recovery;around;spice;wafer stealthily;2025-07-24;2025-07-24;swill;loosely disk repeat;instead so;subdued refer;boo colligate tune;kookily onto excellent;conjecture;linseed yearn earth;burgeon haircut;now;symbolise;29762;inasmuch er
7;meaningfully;energetically aha;ha who;even both;masquerade;yum;redevelop;except;2025-07-24;2025-07-25;considering yuck split;underneath;hypothesise;along preside some;gaseous;potentially upwardly mammoth;upright;round section;though;ouch astride meh;hmph;19786;distorted over
8;scratchy stir-fry first;questionably;what kiddingly;academics to;boo stump;chainstay;baritone whenever;amid whereas mmm;2025-07-24;2025-07-24;what hmph concerning;oof sightseeing for;tenderly;mmm gosh oof;duh;amidst;challenge;whether yearly insidious;suddenly gloat;colligate whether;shakily;26004;thankfully circumference nor
9;subdued about;zowie misguided ick;whoa utterly ack;boohoo unnecessarily private;before;wiggly yum;sunbeam;fatal ack;2025-07-24;2025-07-25;embarrassment er than;yahoo;wrongly stabilise expensive;nor;asset;likely decongestant;orchid guard;when above kindheartedly;prestigious uh-huh purse;pro happily live;smoggy;6497;ah bench shakily
10;lava shabby not;after;focused;mid;dismal drat while;pasta;how pfft;which meh thoroughly;2025-07-25;2025-07-25;where next;unto;scarily;loyally frizz partial;for meanwhile knottily;jubilant frizzy yowza;devise;measly;solvency;pantyhose;pastel;16143;circumference round unto
