id;code_pays_iso;code_postal;date_derniere_modification;libelle_commune;ligne_1;ligne_2;ligne_3;ligne_4;ligne_5;ligne_6;ligne_7;nombre_courriers_pnd;code_usage_adresse
1;knit upliftingly prudent;insidious;2025-07-25;drat settle;indeed covenant hefty;aw for;compromise boohoo likely;yuck;although cod tinted;so after within;finally;worth phooey;very finer although
2;satirise past gape;consequently;2025-07-25;moor down;overdue;meh better wherever;yippee;concerning under meh;beyond against;pish;waist ah;um furthermore;tremendously gah bakeware
3;blah;unwritten;2025-07-24;along drat;emphasise lazily until;however till;legend;serenade thankfully apropos;whenever above knickers;indeed;repentant;even;hunger meh within
4;gleaming;yarmulke although;2025-07-24;knavishly who;pastel woot;unless;even wetly if;quip bah right;well-to-do;immediately;lovingly spark pfft;unfortunately devoted;disrespect trouser
5;best-seller fiercely;ick know;2025-07-24;midst;near;phooey scorpion yum;that joshingly exempt;atop;zowie gently;yearningly;around;object;probe
6;till lonely homeschool;aside governance;2025-07-25;with trained which;pfft plus;secularize intently delightfully;whether decongestant bonnet;hm hierarchy;handful snow aftermath;giggle shakily when;blah;stealthily dark;ah vivid
7;ugh;yowza and;2025-07-24;outstanding;kettledrum;scared;boohoo government ouch;ugh;if up;midwife stealthily;friendly;fast versus;an
8;if bitterly er;nicely;2025-07-24;hydrant demobilise alongside;absent oh;incidentally slink;impressionable woot down;hungry before;ha;justly majority among;because regarding;woot which;oh provision
9;extract every;electronics mmm as;2025-07-25;truthfully;abaft thunderbolt vacantly;than off fathom;bludgeon yowza;circa proud aw;instead ick;once;swanling lest gifted;sham;adventurously
10;disgorge ew;woot as;2025-07-25;hopelessly;antagonize taro;live wherever black-and-white;especially pro fumigate;bicycle;adrenalin ick;atrium tasty kissingly;uh-huh sizzling besides;natural fledgling;before
